13.677596372	e
14.142539683	e
14.678231293	d
14.882290249	e
15.746712018	e
16.189931973	c
16.432902494	e
16.854172336	f
16.989637188	f
20.239637188	d
20.624195011	d
21.279614512	c
21.437709751	d
22.286009070	d
22.715963719	g
23.001768707	d
23.412471655	e
23.542199546	e
26.848185941	e
27.278616780	e
27.856643991	d
28.074625850	e
28.942426304	e
29.360521542	c
29.595623583	e
30.034217687	f
30.298435374	g
30.912403628	e
31.177029478	d
33.431133787	d
33.874671202	d
34.271179138	d
34.502471655	c
34.710702948	d
35.545782313	d
36.255056689	e
36.658004535	d
37.101156463	c
